no,time,Room1_G,Room2_B,Room3_Y,Room3_O,3_state(total),1_state(total),2_state(total)
1,01/06/2023 09:00,39,59.45,50.25,39,0,0,8
2,01/06/2023 10:00,39,59.15,50.75,39,7,1,6
3,01/06/2023 11:00,39,54.4,51.15,39,9,1,4
4,01/06/2023 12:00,39,55,50.7,62.3,8,0,2
5,01/06/2023 13:00,39,55.6,50.7,85.6,7,1,2
6,01/06/2023 14:00,39,55.35,51.5,39,10,2,4
7,01/06/2023 15:00,39,54,50.5,39,14,1,4
8,01/06/2023 16:00,39,53.65,51.95,39,3,0,2
9,01/06/2023 17:00,39,55.4,52.1,39,7,3,1
10,01/06/2023 18:00,39,49.7,47.3,39,2,0,2
11,01/06/2023 19:00,39,54.1,50.8,39,2,0,0
12,01/06/2023 20:00,39,55.8,51.2,39,0,0,0
13,02/06/2023 09:00,39,52.75,51.2,39,5,1,0
14,02/06/2023 10:00,39,51.1,48.4,39,4,2,0
15,02/06/2023 11:00,39,53,50.9,39,4,2,0
16,02/06/2023 12:00,39,55.4,50.3,39,4,5,0
17,02/06/2023 13:00,39,55.95,51.6,39,3,2,0
18,02/06/2023 14:00,39,52.9,51.55,39,5,1,2
19,02/06/2023 15:00,79,55.35,51.4,39,6,2,1
20,02/06/2023 16:00,39,55.75,51.7,39,5,1,0
21,02/06/2023 17:00,39,53.85,51.45,39,2,2,3
22,02/06/2023 18:00,39,53.75,51.5,39,4,0,1
23,02/06/2023 19:00,39,52.75,50.75,39,5,0,0
24,02/06/2023 20:00,39,51.3,50,39,0,0,0
25,03/06/2023 09:00,39,55.05,51,39,0,0,0
26,03/06/2023 10:00,39,55.75,50.75,39,0,0,0
27,03/06/2023 11:00,39,56.3,52.05,39,1,1,0
28,03/06/2023 12:00,39,54.35,51.15,39,5,0,0
29,03/06/2023 13:00,39,57.25,50.45,39,7,1,0
30,03/06/2023 14:00,39,56.85,51.9,39,6,0,1
31,03/06/2023 15:00,39,54.75,50.1,39,1,0,0
32,03/06/2023 16:00,39,53.25,51.4,39,2,3,2
33,03/06/2023 17:00,39,54.75,50.9,39,2,1,0
34,03/06/2023 18:00,39,51.2,50.4,39,0,0,0
35,03/06/2023 19:00,39,54.15,50.2,39,0,0,0
36,03/06/2023 20:00,39,52.25,47.25,39,0,0,0
37,04/06/2023 09:00,39,57.25,50.3,39,0,0,0
38,04/06/2023 10:00,39,53.95,49.4,39,0,0,0
39,04/06/2023 11:00,39,58.8,49.4,39,0,0,0
40,04/06/2023 12:00,39,51.6,46,39,0,0,0
41,04/06/2023 13:00,39,60,50.75,39,0,0,0
42,04/06/2023 14:00,39,60.2,51.2,39,0,0,0
43,04/06/2023 15:00,39,57.4,50,39,0,0,0
44,04/06/2023 16:00,39,58.6,50.05,39,0,0,0
45,04/06/2023 17:00,39,57.15,50.2,39,0,0,0
46,04/06/2023 18:00,39,57.2,49.9,39,0,0,0
47,04/06/2023 19:00,39,58.35,50.3,39,0,0,0
48,04/06/2023 20:00,39,59.3,50,39,0,0,0
49,05/06/2023 09:00,39,54.1,50.55,39,2,0,0
50,05/06/2023 10:00,39,54.25,50.45,39,7,0,1
51,05/06/2023 11:00,39,53.9,50.7,39,3,3,1
52,05/06/2023 12:00,39,55.6,50.9,39,8,1,0
53,05/06/2023 13:00,76.8,53.6,51.45,39,5,1,4
54,05/06/2023 14:00,83.6,53.3,52.45,39,14,2,4
55,05/06/2023 15:00,39,54.1,50.6,39,4,3,6
56,05/06/2023 16:00,82.3,51.6,51.95,39,6,2,3
57,05/06/2023 17:00,86,54.35,52.75,39,4,3,1
58,05/06/2023 18:00,40.5,57,51.5,39,11,0,4
59,05/06/2023 19:00,41.55,55.45,50,39,3,0,1
60,05/06/2023 20:00,41,52.5,50.7,39,0,0,0
61,06/06/2023 09:00,40.75,60.1,52,39,4,3,1
62,06/06/2023 10:00,44.9,55.4,50.3,39,7,2,1
63,06/06/2023 11:00,59.95,51.3,52.2,39,1,1,1
64,06/06/2023 12:00,43.35,53.35,50.35,39,5,4,0
65,06/06/2023 13:00,43.2,51.7,50.7,39,6,10,3
66,06/06/2023 14:00,44.5,48.05,50.65,39,8,3,2
67,06/06/2023 15:00,44,52.95,50.3,39,6,5,4
68,06/06/2023 16:00,43.4,53.1,50.75,39,9,5,2
69,06/06/2023 17:00,43,53.35,51.3,39,2,2,2
70,06/06/2023 18:00,43.65,52.9,50.55,39,4,3,0
71,06/06/2023 19:00,43.65,51.85,50.05,39,2,7,1
72,06/06/2023 20:00,43.3,49.4,51,39,1,0,0
73,07/06/2023 09:00,44.75,53.5,51,39,3,4,0
74,07/06/2023 10:00,44.05,54.75,50.25,39,6,2,0
75,07/06/2023 11:00,43.55,52.5,52.5,39,7,7,3
76,07/06/2023 12:00,44,53.15,52.55,39,5,6,1
77,07/06/2023 13:00,48.6,52.4,50.85,39,7,6,1
78,07/06/2023 14:00,43.05,52.45,49.8,39,5,6,1
79,07/06/2023 15:00,43.4,52.45,52.9,39,11,2,5
80,07/06/2023 16:00,44.2,56.15,52.1,39,1,2,3
81,07/06/2023 17:00,45.55,53.6,51.3,39,9,0,1
82,07/06/2023 18:00,43.25,54.15,51.6,39,2,2,2
83,07/06/2023 19:00,41.9,53.65,50,39,3,2,0
84,07/06/2023 20:00,44.5,50.8,50.7,39,0,0,0
85,08/06/2023 09:00,41.65,53.9,51.1,39,4,3,0
86,08/06/2023 10:00,42.75,55.45,49,39,3,1,0
87,08/06/2023 11:00,42.6,53,52.05,39,3,0,3
88,08/06/2023 12:00,45.35,55.25,51.7,39,5,4,6
89,08/06/2023 13:00,44.4,56,52,39,12,5,4
90,08/06/2023 14:00,42.9,53.3,51.05,39,12,5,4
91,08/06/2023 15:00,43.6,52.1,52.9,39,7,4,6
92,08/06/2023 16:00,78,51.9,51.25,39,2,3,3
93,08/06/2023 17:00,69.4,59.25,48.2,39,5,2,1
94,08/06/2023 18:00,65.7,55.6,52.65,39,7,2,1
95,08/06/2023 19:00,94.15,53.35,49.95,39,6,4,0
96,08/06/2023 20:00,39,56.8,50.5,39,0,0,0
97,09/06/2023 09:00,39,49.1,51.5,39,5,0,0
98,09/06/2023 10:00,39,52.6,49,39,6,0,1
99,09/06/2023 11:00,39,54.5,52.65,39,2,4,6
100,09/06/2023 12:00,39,56.65,52.05,39,5,0,2
101,09/06/2023 13:00,39,57.95,51.4,39,7,0,2
102,09/06/2023 14:00,39,57.75,50.9,39,4,1,6
103,09/06/2023 15:00,39,56.4,51.05,39,7,1,4
104,09/06/2023 16:00,39,53.5,50.8,39,6,0,1
105,09/06/2023 17:00,39,57.6,50,39,3,2,0
106,09/06/2023 18:00,39,54.75,50.45,39,2,0,0
107,09/06/2023 19:00,39,55,50,39,0,0,0
108,09/06/2023 20:00,39,59,51.8,39,0,0,0
109,10/06/2023 09:00,39,51.9,50.9,39,0,0,0
110,10/06/2023 10:00,39,53,51.95,39,1,1,0
111,10/06/2023 11:00,39,58.75,50.85,39,5,1,0
112,10/06/2023 12:00,39,60.65,51.25,39,4,1,2
113,10/06/2023 13:00,39,59,50.75,66.4,6,0,1
114,10/06/2023 14:00,39,59.6,50.8,80.1,6,3,1
115,10/06/2023 15:00,39,58.25,50.5,86.95,2,0,0
116,10/06/2023 16:00,39,59.05,51.4,90.375,1,1,2
117,10/06/2023 17:00,39,53.9,50.4,93.8,1,1,0
118,10/06/2023 18:00,39,53.2,51.55,94,0,0,0
119,10/06/2023 19:00,39,55.1,47.2,66.5,0,0,0
120,10/06/2023 20:00,39,51.2,50.4,39,0,0,0
121,11/06/2023 09:00,39,55.35,51.4,57.75,0,0,0
122,11/06/2023 10:00,39,55,50.75,67.125,0,0,0
123,11/06/2023 11:00,39,53.15,50.4,71.8125,0,0,0
124,11/06/2023 12:00,39,57.65,47,74.15625,0,0,0
125,11/06/2023 13:00,39,56.8,51.2,75.328125,0,0,0
126,11/06/2023 14:00,39,55.15,50.05,76.5,0,0,0
127,11/06/2023 15:00,39,60.6,50.3,83.2,0,0,0
128,11/06/2023 16:00,39,54.8,50.75,83.4,0,0,0
129,11/06/2023 17:00,39,54.65,51.05,93.8,0,0,0
130,11/06/2023 18:00,39,54.1,51.05,76.2,0,0,0
131,11/06/2023 19:00,39,51.25,50.6,76.35,0,0,0
132,11/06/2023 20:00,39,48.7,51.8,76.5,0,0,0
133,12/06/2023 09:00,40.8,53.65,52.6,85.5,5,0,0
134,12/06/2023 10:00,66.95,54.65,48.9,94.5,7,3,2
135,12/06/2023 11:00,84.1,57.5,50.3,62.55,0,3,1
136,12/06/2023 12:00,39,55.45,49.3,41.15,8,1,0
137,12/06/2023 13:00,83.6,58.55,50.65,62.75,8,2,6
138,12/06/2023 14:00,81.2,55.5,49.75,41.4,8,2,1
139,12/06/2023 15:00,39,58.15,49.65,69.1,8,0,0
140,12/06/2023 16:00,94.3,58.85,48.15,42.4,8,3,1
141,12/06/2023 17:00,39,57,48.9,41.9,4,0,2
142,12/06/2023 18:00,83.2,58.65,48.25,40.65,2,0,0
143,12/06/2023 19:00,41.8,59.1,49.25,40.65,7,0,0
144,12/06/2023 20:00,88.8,52,51.5,42.8,0,0,0
145,13/06/2023 09:00,84.2,54.85,51.55,62.7,5,1,0
146,13/06/2023 10:00,43.1,57.2,52.55,62.85,4,3,0
147,13/06/2023 11:00,42.8,58.25,53.15,40.9,6,2,3
148,13/06/2023 12:00,42.55,57.65,48.5,41.35,3,7,6
149,13/06/2023 13:00,44.2,56.25,49.9,41.6,6,4,7
