time,Room1_G,Room2_B,Room3_Y,Room3_O,3_state(total),1_state(total),2_state(total)
2023/06/01 09:00:00,39.0,59.45,50.25,39.0,0.0,0.0,8.0
2023/06/01 10:00:00,39.0,59.15,50.75,39.0,7.0,1.0,6.0
2023/06/01 11:00:00,39.0,54.4,51.15,39.0,9.0,1.0,4.0
2023/06/01 12:00:00,39.0,55.0,50.7,62.3,8.0,0.0,2.0
2023/06/01 13:00:00,39.0,55.6,50.7,85.6,7.0,1.0,2.0
2023/06/01 14:00:00,39.0,55.35,51.5,39.0,10.0,2.0,4.0
2023/06/01 15:00:00,39.0,54.0,50.5,39.0,14.0,1.0,4.0
2023/06/01 16:00:00,39.0,53.65,51.95,39.0,3.0,0.0,2.0
2023/06/01 17:00:00,39.0,55.4,52.1,39.0,7.0,3.0,1.0
2023/06/01 18:00:00,39.0,49.7,47.3,39.0,2.0,0.0,2.0
2023/06/01 19:00:00,39.0,54.1,50.8,39.0,2.0,0.0,0.0
2023/06/01 20:00:00,39.0,55.8,51.2,39.0,0.0,0.0,0.0
2023/06/02 09:00:00,39.0,52.75,51.2,39.0,5.0,1.0,0.0
2023/06/02 10:00:00,39.0,51.1,48.4,39.0,4.0,2.0,0.0
2023/06/02 11:00:00,39.0,53.0,50.9,39.0,4.0,2.0,0.0
2023/06/02 12:00:00,39.0,55.4,50.3,39.0,4.0,5.0,0.0
2023/06/02 13:00:00,39.0,55.95,51.6,39.0,3.0,2.0,0.0
2023/06/02 14:00:00,39.0,52.9,51.55,39.0,5.0,1.0,2.0
2023/06/02 15:00:00,79.0,55.35,51.4,39.0,6.0,2.0,1.0
2023/06/02 16:00:00,39.0,55.75,51.7,39.0,5.0,1.0,0.0
2023/06/02 17:00:00,39.0,53.85,51.45,39.0,2.0,2.0,3.0
2023/06/02 18:00:00,39.0,53.75,51.5,39.0,4.0,0.0,1.0
2023/06/02 19:00:00,39.0,52.75,50.75,39.0,5.0,0.0,0.0
2023/06/02 20:00:00,39.0,51.3,50.0,39.0,0.0,0.0,0.0
2023/06/03 11:00:00,39.0,56.3,52.05,39.0,1.0,1.0,0.0
2023/06/03 12:00:00,39.0,54.35,51.15,39.0,5.0,0.0,0.0
2023/06/03 13:00:00,39.0,57.25,50.45,39.0,7.0,1.0,0.0
2023/06/03 14:00:00,39.0,56.85,51.9,39.0,6.0,0.0,1.0
2023/06/03 15:00:00,39.0,54.75,50.1,39.0,1.0,0.0,0.0
2023/06/03 16:00:00,39.0,53.25,51.4,39.0,2.0,3.0,2.0
2023/06/03 17:00:00,39.0,54.75,50.9,39.0,2.0,1.0,0.0
2023/06/03 18:00:00,39.0,51.2,50.4,39.0,0.0,0.0,0.0
2023/06/04 09:00:00,39.0,57.25,50.3,39.0,0.0,0.0,0.0
2023/06/04 10:00:00,39.0,53.95,49.4,39.0,0.0,0.0,0.0
2023/06/04 11:00:00,39.0,58.8,49.4,39.0,0.0,0.0,0.0
2023/06/04 12:00:00,39.0,51.6,46.0,39.0,0.0,0.0,0.0
2023/06/04 13:00:00,39.0,60.0,50.75,39.0,0.0,0.0,0.0
2023/06/04 14:00:00,39.0,60.2,51.2,39.0,0.0,0.0,0.0
2023/06/04 15:00:00,39.0,57.4,50.0,39.0,0.0,0.0,0.0
2023/06/04 16:00:00,39.0,58.6,50.05,39.0,0.0,0.0,0.0
2023/06/04 17:00:00,39.0,57.15,50.2,39.0,0.0,0.0,0.0
2023/06/04 18:00:00,39.0,57.2,49.9,39.0,0.0,0.0,0.0
2023/06/04 19:00:00,39.0,58.35,50.3,39.0,0.0,0.0,0.0
2023/06/04 20:00:00,39.0,59.3,50.0,39.0,0.0,0.0,0.0
2023/06/05 09:00:00,39.0,54.1,50.55,39.0,2.0,0.0,0.0
2023/06/05 10:00:00,39.0,54.25,50.45,39.0,7.0,0.0,1.0
2023/06/05 11:00:00,39.0,53.9,50.7,39.0,3.0,3.0,1.0
2023/06/05 12:00:00,39.0,55.6,50.9,39.0,8.0,1.0,0.0
2023/06/05 13:00:00,76.8,53.6,51.45,39.0,5.0,1.0,4.0
2023/06/05 14:00:00,83.6,53.3,52.45,39.0,14.0,2.0,4.0
2023/06/05 15:00:00,39.0,54.1,50.6,39.0,4.0,3.0,6.0
2023/06/05 16:00:00,82.3,51.6,51.95,39.0,6.0,2.0,3.0
2023/06/05 17:00:00,86.0,54.35,52.75,39.0,4.0,3.0,1.0
2023/06/05 18:00:00,40.5,57.0,51.5,39.0,11.0,0.0,4.0
2023/06/05 19:00:00,41.55,55.45,50.0,39.0,3.0,0.0,1.0
2023/06/05 20:00:00,41.0,52.5,50.7,39.0,0.0,0.0,0.0
2023/06/06 09:00:00,40.75,60.1,52.0,39.0,4.0,3.0,1.0
2023/06/06 10:00:00,44.9,55.4,50.3,39.0,7.0,2.0,1.0
2023/06/06 11:00:00,59.95,51.3,52.2,39.0,1.0,1.0,1.0
2023/06/06 12:00:00,43.35,53.35,50.35,39.0,5.0,4.0,0.0
2023/06/06 13:00:00,43.2,51.7,50.7,39.0,6.0,10.0,3.0
2023/06/06 14:00:00,44.5,48.05,50.65,39.0,8.0,3.0,2.0
2023/06/06 15:00:00,44.0,52.95,50.3,39.0,6.0,5.0,4.0
2023/06/06 16:00:00,43.4,53.1,50.75,39.0,9.0,5.0,2.0
2023/06/06 17:00:00,43.0,53.35,51.3,39.0,2.0,2.0,2.0
2023/06/06 18:00:00,43.65,52.9,50.55,39.0,4.0,3.0,0.0
2023/06/06 19:00:00,43.65,51.85,50.05,39.0,2.0,7.0,1.0
