time,eui-e8e1e1000104c51b
01/06/2023 10:00,39.0
01/06/2023 10:30,39.0
01/06/2023 11:00,39.0
01/06/2023 12:00,39.0
01/06/2023 12:30,39.0
01/06/2023 15:30,39.0
01/06/2023 19:00,39.0
01/06/2023 20:00,39.0
02/06/2023 10:00,39.0
02/06/2023 11:30,39.0
02/06/2023 14:00,39.0
02/06/2023 15:30,79.0
02/06/2023 17:00,39.0
02/06/2023 18:00,39.0
02/06/2023 20:00,39.0
03/06/2023 09:00,39.0
03/06/2023 09:30,39.0
03/06/2023 10:30,39.0
03/06/2023 12:00,39.0
03/06/2023 14:00,39.0
03/06/2023 15:00,39.0
03/06/2023 15:30,39.0
03/06/2023 16:00,39.0
03/06/2023 17:00,39.0
03/06/2023 17:30,39.0
03/06/2023 19:30,39.0
04/06/2023 09:00,39.0
04/06/2023 09:30,39.0
04/06/2023 10:00,39.0
04/06/2023 10:30,39.0
04/06/2023 11:00,39.0
04/06/2023 11:30,39.0
04/06/2023 12:00,39.0
04/06/2023 13:30,39.0
04/06/2023 14:00,39.0
04/06/2023 14:30,39.0
04/06/2023 15:00,39.0
04/06/2023 15:30,39.0
04/06/2023 16:00,39.0
04/06/2023 16:30,39.0
04/06/2023 17:00,39.0
04/06/2023 17:30,39.0
04/06/2023 18:00,39.0
04/06/2023 18:30,39.0
04/06/2023 19:00,39.0
04/06/2023 20:00,39.0
05/06/2023 09:00,39.0
05/06/2023 09:30,39.0
05/06/2023 10:00,39.0
05/06/2023 10:30,39.0
05/06/2023 12:00,39.0
05/06/2023 13:30,76.8
05/06/2023 14:00,83.6
05/06/2023 16:00,80.8
05/06/2023 16:30,83.8
05/06/2023 17:00,86.0
05/06/2023 18:30,40.5
05/06/2023 19:00,41.3
05/06/2023 19:30,41.8
05/06/2023 20:00,41.0
06/06/2023 09:00,40.5
06/06/2023 09:30,41.0
06/06/2023 10:00,47.0
06/06/2023 10:30,42.8
06/06/2023 11:00,41.4
06/06/2023 11:30,78.5
06/06/2023 12:00,43.7
06/06/2023 12:30,43.0
06/06/2023 13:00,41.8
06/06/2023 13:30,44.6
06/06/2023 14:00,44.5
06/06/2023 15:00,44.0
06/06/2023 15:30,44.0
06/06/2023 16:00,44.5
06/06/2023 16:30,42.3
06/06/2023 17:00,42.7
06/06/2023 17:30,43.3
06/06/2023 18:00,46.6
06/06/2023 18:30,40.7
06/06/2023 19:00,42.5
06/06/2023 19:30,44.8
06/06/2023 20:00,43.3
07/06/2023 09:00,41.3
07/06/2023 09:30,48.2
07/06/2023 10:00,43.5
07/06/2023 10:30,44.6
07/06/2023 11:00,43.7
07/06/2023 11:30,43.4
07/06/2023 12:00,45.2
07/06/2023 12:30,42.8
07/06/2023 13:00,44.0
07/06/2023 13:30,53.2
07/06/2023 14:00,43.8
07/06/2023 14:30,42.3
07/06/2023 15:00,45.2
07/06/2023 15:30,41.6
07/06/2023 16:00,44.2
07/06/2023 16:30,44.2
07/06/2023 17:00,43.8
07/06/2023 17:30,47.3
07/06/2023 18:00,42.3
07/06/2023 18:30,44.2
07/06/2023 19:00,43.0
07/06/2023 19:30,40.8
07/06/2023 20:00,44.5
08/06/2023 09:00,42.0
08/06/2023 09:30,41.3
08/06/2023 10:00,43.0
08/06/2023 10:30,42.5
08/06/2023 11:00,42.8
08/06/2023 11:30,42.4
08/06/2023 12:00,47.2
08/06/2023 12:30,43.5
08/06/2023 13:00,44.2
08/06/2023 13:30,44.6
08/06/2023 14:00,43.8
08/06/2023 14:30,42.0
08/06/2023 15:00,42.6
08/06/2023 15:30,44.6
08/06/2023 16:00,78.0
08/06/2023 17:00,86.3
08/06/2023 17:30,52.5
08/06/2023 18:00,50.2
08/06/2023 18:30,81.2
08/06/2023 19:00,94.3
08/06/2023 19:30,94.0
09/06/2023 09:00,39.0
09/06/2023 09:30,39.0
09/06/2023 10:30,39.0
09/06/2023 11:00,39.0
09/06/2023 12:30,39.0
09/06/2023 13:00,39.0
09/06/2023 13:30,39.0
09/06/2023 14:00,39.0
09/06/2023 15:00,39.0
09/06/2023 17:30,39.0
10/06/2023 10:30,39.0
10/06/2023 11:00,39.0
10/06/2023 11:30,39.0
10/06/2023 12:00,39.0
10/06/2023 14:00,39.0
10/06/2023 15:00,39.0
10/06/2023 15:30,39.0
10/06/2023 18:30,39.0
10/06/2023 19:30,39.0
10/06/2023 20:00,39.0
11/06/2023 09:00,39.0
11/06/2023 09:30,39.0
11/06/2023 10:00,39.0
11/06/2023 10:30,39.0
11/06/2023 11:00,39.0
11/06/2023 11:30,39.0
11/06/2023 12:30,39.0
11/06/2023 14:30,39.0
11/06/2023 15:00,39.0
11/06/2023 16:00,39.0
11/06/2023 16:30,39.0
11/06/2023 17:00,39.0
11/06/2023 17:30,39.0
11/06/2023 18:00,39.0
11/06/2023 18:30,39.0
11/06/2023 19:00,39.0
11/06/2023 19:30,39.0
12/06/2023 09:30,40.8
12/06/2023 10:00,41.3
12/06/2023 10:30,92.6
12/06/2023 11:00,84.2
12/06/2023 11:30,84.0
12/06/2023 13:00,83.6
12/06/2023 14:00,81.2
12/06/2023 16:30,94.3
12/06/2023 18:00,83.2
12/06/2023 19:30,41.8
12/06/2023 20:00,88.8
13/06/2023 09:30,84.2
13/06/2023 10:00,43.2
13/06/2023 10:30,43.0
13/06/2023 11:00,44.6
13/06/2023 11:30,41.0
13/06/2023 12:00,40.8
13/06/2023 12:30,44.3
13/06/2023 13:00,44.2
13/06/2023 14:00,68.4
13/06/2023 15:00,43.8
13/06/2023 16:00,42.3
13/06/2023 17:00,44.4
13/06/2023 17:30,84.8
13/06/2023 18:00,46.4
13/06/2023 18:30,81.0
13/06/2023 19:00,84.2
13/06/2023 20:00,83.6
14/06/2023 09:30,86.0
14/06/2023 11:00,39.0
15/06/2023 11:30,39.0
15/06/2023 12:30,39.0
15/06/2023 15:30,39.0
15/06/2023 16:30,83.8
15/06/2023 17:30,83.4
16/06/2023 09:00,39.0
16/06/2023 10:00,39.0
16/06/2023 12:30,39.0
16/06/2023 14:30,40.8
16/06/2023 15:00,76.2
16/06/2023 15:30,41.3
16/06/2023 16:00,41.0
16/06/2023 16:30,45.8
16/06/2023 17:00,41.3
16/06/2023 17:30,42.7
16/06/2023 18:00,41.3
16/06/2023 19:00,41.2
16/06/2023 19:30,43.2
16/06/2023 20:00,76.3
17/06/2023 09:00,39.0
17/06/2023 09:30,39.0
17/06/2023 10:00,39.0
17/06/2023 11:00,39.0
17/06/2023 12:00,39.0
17/06/2023 13:30,78.5
17/06/2023 15:00,93.8
17/06/2023 15:30,44.0
18/06/2023 12:00,39.0
18/06/2023 18:00,83.4
18/06/2023 19:30,39.0
19/06/2023 13:00,76.2
19/06/2023 15:00,99.6
19/06/2023 17:00,41.8
19/06/2023 17:30,43.5
19/06/2023 18:00,84.6
19/06/2023 18:30,42.5
20/06/2023 12:00,76.2
20/06/2023 13:00,97.3
20/06/2023 14:30,39.0
20/06/2023 15:30,77.3
20/06/2023 17:00,83.4
20/06/2023 18:30,76.3
21/06/2023 09:00,91.0
21/06/2023 11:30,83.2
21/06/2023 12:00,94.0
21/06/2023 13:00,83.6
21/06/2023 14:30,84.0
21/06/2023 16:00,39.0
21/06/2023 19:00,39.0
21/06/2023 19:30,39.0
21/06/2023 20:00,84.2
22/06/2023 10:00,76.0
22/06/2023 10:30,76.5
22/06/2023 11:00,89.6
22/06/2023 13:30,76.2
22/06/2023 15:00,69.5
22/06/2023 15:30,41.0
22/06/2023 17:00,77.0
22/06/2023 17:30,76.5
22/06/2023 18:00,79.2
22/06/2023 19:00,76.7
22/06/2023 19:30,76.0
23/06/2023 11:00,76.5
23/06/2023 12:00,83.6
23/06/2023 12:30,75.8
23/06/2023 14:00,40.8
23/06/2023 15:00,94.5
23/06/2023 15:30,94.3
23/06/2023 16:00,76.7
23/06/2023 17:00,45.0
23/06/2023 19:00,41.6
23/06/2023 19:30,40.4
24/06/2023 09:30,39.0
24/06/2023 11:00,44.0
24/06/2023 12:30,85.2
24/06/2023 14:30,39.0
24/06/2023 17:30,100.0
24/06/2023 19:00,39.0
25/06/2023 15:00,39.0
25/06/2023 17:00,39.0
26/06/2023 10:30,76.7
26/06/2023 13:30,76.0
26/06/2023 14:00,88.4
26/06/2023 14:30,84.6
26/06/2023 15:00,84.2
26/06/2023 15:30,43.5
26/06/2023 16:30,41.7
26/06/2023 17:00,42.8
26/06/2023 17:30,77.2
27/06/2023 09:30,40.0
27/06/2023 13:30,45.6
27/06/2023 14:00,85.6
27/06/2023 14:30,84.0
27/06/2023 16:00,40.2
27/06/2023 16:30,95.0
27/06/2023 19:00,84.0
28/06/2023 09:30,83.6
28/06/2023 11:30,39.0
28/06/2023 12:30,77.5
28/06/2023 14:30,93.8
28/06/2023 15:30,83.2
28/06/2023 16:30,76.3
28/06/2023 19:00,84.2
29/06/2023 09:00,83.0
29/06/2023 19:30,39.0
29/06/2023 20:00,39.0
30/06/2023 09:30,75.8
30/06/2023 10:30,94.0
30/06/2023 13:00,39.0
30/06/2023 13:30,40.7
30/06/2023 16:30,39.0
30/06/2023 17:30,76.0
30/06/2023 18:30,39.0
30/06/2023 19:30,39.0
01/07/2023 09:30,39.0
01/07/2023 10:00,39.0
01/07/2023 12:30,39.0
01/07/2023 19:00,39.0
02/07/2023 09:00,39.0
02/07/2023 12:00,39.0
02/07/2023 12:30,39.0
02/07/2023 13:00,39.0
02/07/2023 13:30,39.0
02/07/2023 15:00,39.0
02/07/2023 16:30,39.0
02/07/2023 17:30,39.0
02/07/2023 18:30,39.0
