time,eui-e8e1e1000104c51e
01/06/2023 09:00,50.2
01/06/2023 09:30,50.3
01/06/2023 10:00,49.8
01/06/2023 10:30,51.7
01/06/2023 11:00,50.8
01/06/2023 11:30,51.5
01/06/2023 12:00,50.7
01/06/2023 12:30,50.7
01/06/2023 13:00,50.4
01/06/2023 13:30,51.0
01/06/2023 14:00,51.0
01/06/2023 14:30,52.0
01/06/2023 15:00,51.0
01/06/2023 15:30,50.0
01/06/2023 16:00,52.7
01/06/2023 16:30,51.2
01/06/2023 17:00,50.0
01/06/2023 17:30,54.2
01/06/2023 18:00,43.0
01/06/2023 18:30,51.6
01/06/2023 19:00,50.8
01/06/2023 19:30,50.8
01/06/2023 20:00,51.2
02/06/2023 09:00,51.2
02/06/2023 09:30,51.2
02/06/2023 10:00,52.7
02/06/2023 10:30,44.1
02/06/2023 11:00,50.8
02/06/2023 11:30,51.0
02/06/2023 12:00,49.8
02/06/2023 12:30,50.8
02/06/2023 13:00,53.0
02/06/2023 13:30,50.2
02/06/2023 14:00,52.4
02/06/2023 14:30,50.7
02/06/2023 15:00,52.0
02/06/2023 15:30,50.8
02/06/2023 16:00,51.0
02/06/2023 16:30,52.4
02/06/2023 17:00,51.2
02/06/2023 17:30,51.7
02/06/2023 18:00,49.3
02/06/2023 18:30,53.7
02/06/2023 19:00,50.7
02/06/2023 19:30,50.8
02/06/2023 20:00,50.0
03/06/2023 09:00,52.2
03/06/2023 09:30,49.8
03/06/2023 10:00,50.0
03/06/2023 10:30,51.5
03/06/2023 11:00,51.6
03/06/2023 11:30,52.5
03/06/2023 12:00,51.8
03/06/2023 12:30,50.5
03/06/2023 13:00,49.6
03/06/2023 13:30,51.3
03/06/2023 14:00,52.0
03/06/2023 14:30,51.8
03/06/2023 15:00,51.8
03/06/2023 15:30,48.4
03/06/2023 16:00,51.0
03/06/2023 16:30,51.8
03/06/2023 17:00,51.0
03/06/2023 17:30,50.8
03/06/2023 18:00,50.4
03/06/2023 18:30,49.7
03/06/2023 19:00,50.4
03/06/2023 19:30,50.0
03/06/2023 20:00,42.3
04/06/2023 09:00,50.6
04/06/2023 09:30,50.0
04/06/2023 10:00,48.6
04/06/2023 10:30,50.2
04/06/2023 11:00,50.0
04/06/2023 11:30,48.8
04/06/2023 12:00,49.8
04/06/2023 12:30,42.2
04/06/2023 13:00,50.3
04/06/2023 13:30,51.2
04/06/2023 14:00,51.6
04/06/2023 14:30,50.8
04/06/2023 15:00,49.7
04/06/2023 15:30,50.3
04/06/2023 16:00,50.8
04/06/2023 16:30,49.3
04/06/2023 17:00,50.2
04/06/2023 17:30,50.2
04/06/2023 18:00,50.0
04/06/2023 18:30,49.8
04/06/2023 19:00,50.0
04/06/2023 19:30,50.6
04/06/2023 20:00,50.0
05/06/2023 09:00,50.7
05/06/2023 09:30,50.4
05/06/2023 10:00,49.2
05/06/2023 10:30,51.7
05/06/2023 11:00,51.4
05/06/2023 11:30,50.0
05/06/2023 12:00,50.8
05/06/2023 12:30,51.0
05/06/2023 13:00,50.5
05/06/2023 13:30,52.4
05/06/2023 14:00,51.7
05/06/2023 14:30,53.2
05/06/2023 15:00,51.2
05/06/2023 15:30,50.0
05/06/2023 16:00,52.3
05/06/2023 16:30,51.6
05/06/2023 17:00,53.5
05/06/2023 17:30,52.0
05/06/2023 18:00,51.7
05/06/2023 18:30,51.3
05/06/2023 19:00,50.5
05/06/2023 19:30,49.5
05/06/2023 20:00,50.7
06/06/2023 09:00,51.0
06/06/2023 09:30,53.0
06/06/2023 10:00,50.8
06/06/2023 10:30,49.8
06/06/2023 11:00,51.8
06/06/2023 11:30,52.6
06/06/2023 12:00,51.0
06/06/2023 12:30,49.7
06/06/2023 13:00,51.2
06/06/2023 13:30,50.2
06/06/2023 14:00,51.5
06/06/2023 14:30,49.8
06/06/2023 15:30,50.3
06/06/2023 16:00,50.5
06/06/2023 16:30,51.0
06/06/2023 17:00,51.6
06/06/2023 17:30,51.0
06/06/2023 18:00,50.8
06/06/2023 18:30,50.3
06/06/2023 19:00,48.5
06/06/2023 19:30,51.6
06/06/2023 20:00,51.0
07/06/2023 09:00,50.8
07/06/2023 09:30,51.2
07/06/2023 10:00,50.0
07/06/2023 10:30,50.5
07/06/2023 11:00,54.2
07/06/2023 11:30,50.8
07/06/2023 12:00,53.3
07/06/2023 12:30,51.8
07/06/2023 13:00,48.7
07/06/2023 13:30,53.0
