time,eui-e8e1e1000104c51b
2023-06-01 10:00:00,39.0
2023-06-01 10:30:00,39.0
2023-06-01 11:00:00,39.0
2023-06-01 12:00:00,39.0
2023-06-01 12:30:00,39.0
2023-06-01 15:30:00,39.0
2023-06-01 19:00:00,39.0
2023-06-01 20:00:00,39.0
2023-06-02 10:00:00,39.0
2023-06-02 11:30:00,39.0
2023-06-02 14:00:00,39.0
2023-06-02 15:30:00,79.0
2023-06-02 17:00:00,39.0
2023-06-02 18:00:00,39.0
2023-06-02 20:00:00,39.0
2023-06-03 12:00:00,39.0
2023-06-03 14:00:00,39.0
2023-06-03 15:00:00,39.0
2023-06-03 15:30:00,39.0
2023-06-03 16:00:00,39.0
2023-06-03 17:00:00,39.0
2023-06-03 17:30:00,39.0
2023-06-04 09:00:00,39.0
2023-06-04 09:30:00,39.0
2023-06-04 10:00:00,39.0
2023-06-04 10:30:00,39.0
2023-06-04 11:00:00,39.0
2023-06-04 11:30:00,39.0
2023-06-04 12:00:00,39.0
2023-06-04 13:30:00,39.0
2023-06-04 14:00:00,39.0
2023-06-04 14:30:00,39.0
2023-06-04 15:00:00,39.0
2023-06-04 15:30:00,39.0
2023-06-04 16:00:00,39.0
2023-06-04 16:30:00,39.0
2023-06-04 17:00:00,39.0
2023-06-04 17:30:00,39.0
2023-06-04 18:00:00,39.0
2023-06-04 18:30:00,39.0
2023-06-04 19:00:00,39.0
2023-06-04 20:00:00,39.0
2023-06-05 09:00:00,39.0
2023-06-05 09:30:00,39.0
2023-06-05 10:00:00,39.0
2023-06-05 10:30:00,39.0
2023-06-05 12:00:00,39.0
2023-06-05 13:30:00,76.8
2023-06-05 14:00:00,83.6
2023-06-05 16:00:00,80.8
2023-06-05 16:30:00,83.8
2023-06-05 17:00:00,86.0
2023-06-05 18:30:00,40.5
2023-06-05 19:00:00,41.3
2023-06-05 19:30:00,41.8
2023-06-05 20:00:00,41.0
2023-06-06 09:00:00,40.5
2023-06-06 09:30:00,41.0
2023-06-06 10:00:00,47.0
2023-06-06 10:30:00,42.8
2023-06-06 11:00:00,41.4
2023-06-06 11:30:00,78.5
2023-06-06 12:00:00,43.7
2023-06-06 12:30:00,43.0
2023-06-06 13:00:00,41.8
2023-06-06 13:30:00,44.6
2023-06-06 14:00:00,44.5
2023-06-06 15:00:00,44.0
2023-06-06 15:30:00,44.0
2023-06-06 16:00:00,44.5
2023-06-06 16:30:00,42.3
2023-06-06 17:00:00,42.7
2023-06-06 17:30:00,43.3
2023-06-06 18:00:00,46.6
2023-06-06 18:30:00,40.7
2023-06-06 19:00:00,42.5
2023-06-06 19:30:00,44.8
2023-06-06 20:00:00,43.3
2023-06-07 09:00:00,41.3
2023-06-07 09:30:00,48.2
2023-06-07 10:00:00,43.5
2023-06-07 10:30:00,44.6
2023-06-07 11:00:00,43.7
2023-06-07 11:30:00,43.4
2023-06-07 12:00:00,45.2
2023-06-07 12:30:00,42.8
2023-06-07 13:00:00,44.0
2023-06-07 13:30:00,53.2
2023-06-07 14:00:00,43.8
2023-06-07 14:30:00,42.3
2023-06-07 15:00:00,45.2
2023-06-07 15:30:00,41.6
2023-06-07 16:00:00,44.2
2023-06-07 16:30:00,44.2
2023-06-07 17:00:00,43.8
2023-06-07 17:30:00,47.3
2023-06-07 18:00:00,42.3
2023-06-07 18:30:00,44.2
2023-06-07 19:00:00,43.0
2023-06-07 19:30:00,40.8
2023-06-07 20:00:00,44.5
2023-06-08 09:00:00,42.0
2023-06-08 09:30:00,41.3
2023-06-08 10:00:00,43.0
2023-06-08 10:30:00,42.5
2023-06-08 11:00:00,42.8
2023-06-08 11:30:00,42.4
2023-06-08 12:00:00,47.2
2023-06-08 12:30:00,43.5
2023-06-08 13:00:00,44.2
2023-06-08 13:30:00,44.6
2023-06-08 14:00:00,43.8
2023-06-08 14:30:00,42.0
2023-06-08 15:00:00,42.6
2023-06-08 15:30:00,44.6
2023-06-08 16:00:00,78.0
2023-06-08 17:00:00,86.3
2023-06-08 17:30:00,52.5
2023-06-08 18:00:00,50.2
2023-06-08 18:30:00,81.2
2023-06-08 19:00:00,94.3
2023-06-08 19:30:00,94.0
2023-06-09 09:00:00,39.0
2023-06-09 09:30:00,39.0
2023-06-09 10:30:00,39.0
