time,eui-e8e1e1000104c51e
2023-06-01 09:00:00,50.2
2023-06-01 09:30:00,50.3
2023-06-01 10:00:00,49.8
2023-06-01 10:30:00,51.7
2023-06-01 11:00:00,50.8
2023-06-01 11:30:00,51.5
2023-06-01 12:00:00,50.7
2023-06-01 12:30:00,50.7
2023-06-01 13:00:00,50.4
2023-06-01 13:30:00,51.0
2023-06-01 14:00:00,51.0
2023-06-01 14:30:00,52.0
2023-06-01 15:00:00,51.0
2023-06-01 15:30:00,50.0
2023-06-01 16:00:00,52.7
2023-06-01 16:30:00,51.2
2023-06-01 17:00:00,50.0
2023-06-01 17:30:00,54.2
2023-06-01 18:00:00,43.0
2023-06-01 18:30:00,51.6
2023-06-01 19:00:00,50.8
2023-06-01 19:30:00,50.8
2023-06-01 20:00:00,51.2
2023-06-02 09:00:00,51.2
2023-06-02 09:30:00,51.2
2023-06-02 10:00:00,52.7
2023-06-02 10:30:00,44.1
2023-06-02 11:00:00,50.8
2023-06-02 11:30:00,51.0
2023-06-02 12:00:00,49.8
2023-06-02 12:30:00,50.8
2023-06-02 13:00:00,53.0
2023-06-02 13:30:00,50.2
2023-06-02 14:00:00,52.4
2023-06-02 14:30:00,50.7
2023-06-02 15:00:00,52.0
2023-06-02 15:30:00,50.8
2023-06-02 16:00:00,51.0
2023-06-02 16:30:00,52.4
2023-06-02 17:00:00,51.2
2023-06-02 17:30:00,51.7
2023-06-02 18:00:00,49.3
2023-06-02 18:30:00,53.7
2023-06-02 19:00:00,50.7
2023-06-02 19:30:00,50.8
2023-06-02 20:00:00,50.0
2023-06-03 11:00:00,51.6
2023-06-03 11:30:00,52.5
2023-06-03 12:00:00,51.8
2023-06-03 12:30:00,50.5
2023-06-03 13:00:00,49.6
2023-06-03 13:30:00,51.3
2023-06-03 14:00:00,52.0
2023-06-03 14:30:00,51.8
2023-06-03 15:00:00,51.8
2023-06-03 15:30:00,48.4
2023-06-03 16:00:00,51.0
2023-06-03 16:30:00,51.8
2023-06-03 17:00:00,51.0
2023-06-03 17:30:00,50.8
2023-06-03 18:00:00,50.4
2023-06-04 09:00:00,50.6
2023-06-04 09:30:00,50.0
2023-06-04 10:00:00,48.6
2023-06-04 10:30:00,50.2
2023-06-04 11:00:00,50.0
2023-06-04 11:30:00,48.8
2023-06-04 12:00:00,49.8
2023-06-04 12:30:00,42.2
2023-06-04 13:00:00,50.3
2023-06-04 13:30:00,51.2
2023-06-04 14:00:00,51.6
2023-06-04 14:30:00,50.8
2023-06-04 15:00:00,49.7
2023-06-04 15:30:00,50.3
2023-06-04 16:00:00,50.8
2023-06-04 16:30:00,49.3
2023-06-04 17:00:00,50.2
2023-06-04 17:30:00,50.2
2023-06-04 18:00:00,50.0
2023-06-04 18:30:00,49.8
2023-06-04 19:00:00,50.0
2023-06-04 19:30:00,50.6
2023-06-04 20:00:00,50.0
2023-06-05 09:00:00,50.7
2023-06-05 09:30:00,50.4
2023-06-05 10:00:00,49.2
2023-06-05 10:30:00,51.7
2023-06-05 11:00:00,51.4
2023-06-05 11:30:00,50.0
2023-06-05 12:00:00,50.8
2023-06-05 12:30:00,51.0
2023-06-05 13:00:00,50.5
2023-06-05 13:30:00,52.4
2023-06-05 14:00:00,51.7
2023-06-05 14:30:00,53.2
2023-06-05 15:00:00,51.2
2023-06-05 15:30:00,50.0
2023-06-05 16:00:00,52.3
2023-06-05 16:30:00,51.6
2023-06-05 17:00:00,53.5
2023-06-05 17:30:00,52.0
2023-06-05 18:00:00,51.7
2023-06-05 18:30:00,51.3
2023-06-05 19:00:00,50.5
2023-06-05 19:30:00,49.5
2023-06-05 20:00:00,50.7
2023-06-06 09:00:00,51.0
2023-06-06 09:30:00,53.0
2023-06-06 10:00:00,50.8
2023-06-06 10:30:00,49.8
2023-06-06 11:00:00,51.8
2023-06-06 11:30:00,52.6
2023-06-06 12:00:00,51.0
2023-06-06 12:30:00,49.7
2023-06-06 13:00:00,51.2
2023-06-06 13:30:00,50.2
2023-06-06 14:00:00,51.5
2023-06-06 14:30:00,49.8
2023-06-06 15:30:00,50.3
2023-06-06 16:00:00,50.5
2023-06-06 16:30:00,51.0
2023-06-06 17:00:00,51.6
2023-06-06 17:30:00,51.0
2023-06-06 18:00:00,50.8
2023-06-06 18:30:00,50.3
2023-06-06 19:00:00,48.5
2023-06-06 19:30:00,51.6
2023-06-06 20:00:00,51.0
2023-06-07 09:00:00,50.8
2023-06-07 09:30:00,51.2
