Time,Room1,Room3,Room2
01/06/2023 13:00,231,50.7,54.7
01/06/2023 14:00,202,51,56.9
01/06/2023 15:00,185,51.5,54.6
01/06/2023 16:00,234,51.3,52.8
01/06/2023 17:00,199,50.6,55.2
01/06/2023 18:00,186,48.2,49.8
01/06/2023 19:00,235,51.2,54.2
01/06/2023 20:00,234,51,54.5
01/06/2023 21:00,216,50.8,58.3
01/06/2023 22:00,255,50.5,53
01/06/2023 23:00,255,51.2,51.6
02/06/2023 00:00,255,50.2,52.7
02/06/2023 01:00,255,50.5,53.6
02/06/2023 02:00,255,51.1,51.8
02/06/2023 03:00,234,51.7,51.8
02/06/2023 04:00,255,48.9,54
02/06/2023 05:00,255,49.5,56.1
02/06/2023 06:00,255,50.4,52.9
02/06/2023 07:00,255,49.9,55.4
02/06/2023 08:00,255,50.8,52.7
02/06/2023 09:00,201,51,54.3
02/06/2023 10:00,236,51.9,54.7
02/06/2023 11:00,154,47.2,49.2
02/06/2023 12:00,216,50.4,54.9
02/06/2023 13:00,191,51.7,54.2
02/06/2023 14:00,235,51.2,54.3
02/06/2023 15:00,171,51.3,53.9
02/06/2023 16:00,120,50.9,56.4
02/06/2023 17:00,212,51.7,53.9
02/06/2023 18:00,237,50.7,52.6
02/06/2023 19:00,207,52.2,55.3
02/06/2023 20:00,219,50.5,51.8
02/06/2023 21:00,255,49.2,55
02/06/2023 22:00,255,50.8,53.9
02/06/2023 23:00,255,49.4,50.6
03/06/2023 00:00,255,50.6,53
03/06/2023 01:00,255,50.4,52.8
03/06/2023 02:00,255,49.1,55.1
03/06/2023 03:00,255,46.8,50.6
03/06/2023 04:00,235,51,49.8
03/06/2023 05:00,255,49.8,51.1
03/06/2023 06:00,255,49,52.8
03/06/2023 07:00,255,50.8,54
03/06/2023 08:00,255,49.9,55
03/06/2023 09:00,235,51.2,55.8
03/06/2023 10:00,235,49.9,55.2
03/06/2023 11:00,237,51.5,55.5
03/06/2023 12:00,216,52.2,55.8
03/06/2023 13:00,212,50,55.6
03/06/2023 14:00,237,51.7,56.3
03/06/2023 15:00,234,51.8,57.3
03/06/2023 16:00,255,49.8,53.8
03/06/2023 17:00,222,51.4,54.8
03/06/2023 18:00,184,50.6,52
03/06/2023 19:00,219,50,54.7
03/06/2023 20:00,212,45.8,51.3
03/06/2023 21:00,235,52.5,54.1
03/06/2023 22:00,255,50,53.3
03/06/2023 23:00,255,50.7,57.9
04/06/2023 00:00,255,50,51.6
04/06/2023 01:00,237,49.8,55.3
04/06/2023 02:00,255,51.1,53.9
04/06/2023 03:00,255,50.6,54.6
04/06/2023 04:00,255,50.3,53.5
04/06/2023 05:00,255,51.9,52.4
04/06/2023 06:00,255,49.5,56.5
04/06/2023 07:00,255,51.5,52.7
04/06/2023 08:00,255,50.8,54.5
04/06/2023 09:00,255,49.8,56.2
04/06/2023 10:00,255,49.4,55.6
04/06/2023 11:00,255,50.1,57
04/06/2023 12:00,255,49.3,57.7
04/06/2023 13:00,216,46.6,53.4
04/06/2023 14:00,255,51.4,60.4
04/06/2023 15:00,255,50.3,58.4
04/06/2023 16:00,255,50.6,58.8
04/06/2023 17:00,255,49.8,57.4
04/06/2023 18:00,255,50.1,56.4
04/06/2023 19:00,255,49.9,57.6
04/06/2023 20:00,237,50.3,58.9
04/06/2023 21:00,234,50.1,57.5
04/06/2023 22:00,255,50.8,58.1
04/06/2023 23:00,255,50.7,57.4
05/06/2023 00:00,255,49.9,55.6
05/06/2023 01:00,255,50.5,55.6
05/06/2023 02:00,255,51.5,55.8
05/06/2023 03:00,255,50.8,55.8
05/06/2023 04:00,255,50.3,55.5
05/06/2023 05:00,255,50.6,55.1
05/06/2023 06:00,216,46.2,48.4
05/06/2023 07:00,220,50.3,54.1
05/06/2023 08:00,255,49.6,55.3
05/06/2023 09:00,235,51.4,54
05/06/2023 10:00,255,49.7,54.3
05/06/2023 11:00,231,51.5,54.7
05/06/2023 12:00,212,50.4,55.8
05/06/2023 13:00,148,50.7,53.5
05/06/2023 14:00,79.9,52,53.5
