no,room,date,count_1s,Value
1,1,18/06/2023 00:00,0,39
2,1,18/06/2023 01:00,0,39
3,1,18/06/2023 02:00,0,39
4,1,18/06/2023 03:00,0,39
5,1,18/06/2023 04:00,0,39
6,1,18/06/2023 05:00,0,39
7,1,18/06/2023 06:00,0,39
8,1,18/06/2023 07:00,0,39
9,1,18/06/2023 08:00,0,39
10,1,18/06/2023 09:00,0,39
11,1,18/06/2023 10:00,0,39
12,1,18/06/2023 11:00,0,39
13,1,18/06/2023 12:00,0,39
14,1,18/06/2023 13:00,0,39
15,1,18/06/2023 14:00,0,39
16,1,18/06/2023 15:00,0,39
17,1,18/06/2023 16:00,0,39
18,1,18/06/2023 17:00,0,39
19,1,18/06/2023 18:00,0,39
20,1,18/06/2023 19:00,0,39
21,1,18/06/2023 20:00,0,39
22,1,18/06/2023 21:00,0,39
23,1,18/06/2023 22:00,0,39
24,1,18/06/2023 23:00,0,39
25,1,19/06/2023 00:00,0,39
26,1,19/06/2023 01:00,0,39
27,1,19/06/2023 02:00,0,39
28,1,19/06/2023 03:00,0,39
29,1,19/06/2023 04:00,0,39
30,1,19/06/2023 05:00,0,39
31,1,19/06/2023 06:00,0,39
32,1,19/06/2023 07:00,0,39
33,1,19/06/2023 08:00,0,39
34,1,19/06/2023 09:00,0,39
35,1,19/06/2023 10:00,0,39
36,1,19/06/2023 11:00,0,39
37,1,19/06/2023 12:00,0,39
38,1,19/06/2023 13:00,0,39
39,1,19/06/2023 14:00,0,39
40,1,19/06/2023 15:00,0,39
41,1,19/06/2023 16:00,0,39
42,1,19/06/2023 17:00,0,92
43,1,19/06/2023 18:00,0,65
44,1,19/06/2023 19:00,0,100
45,1,19/06/2023 20:00,0,39
46,1,19/06/2023 21:00,0,39
47,1,19/06/2023 22:00,0,39
48,1,19/06/2023 23:00,0,39
49,1,20/06/2023 00:00,0,39
50,1,20/06/2023 01:00,0,39
51,1,20/06/2023 02:00,0,39
52,1,20/06/2023 03:00,0,39
53,1,20/06/2023 04:00,0,39
54,1,20/06/2023 05:00,0,39
55,1,20/06/2023 06:00,0,39
56,1,20/06/2023 07:00,0,39
57,1,20/06/2023 08:00,0,39
58,1,20/06/2023 09:00,0,39
59,1,20/06/2023 10:00,0,39
60,1,20/06/2023 11:00,0,39
61,1,20/06/2023 12:00,0,100
62,1,20/06/2023 13:00,0,39
63,1,20/06/2023 14:00,0,39
64,1,20/06/2023 15:00,0,39
65,1,20/06/2023 16:00,0,39
66,1,20/06/2023 17:00,0,100
67,1,20/06/2023 18:00,0,39
68,1,20/06/2023 19:00,0,100
69,1,20/06/2023 20:00,0,39
70,1,20/06/2023 21:00,0,39
71,1,20/06/2023 22:00,0,39
72,1,20/06/2023 23:00,0,39
73,1,21/06/2023 00:00,0,39
74,1,21/06/2023 01:00,0,39
75,1,21/06/2023 02:00,0,39
76,1,21/06/2023 03:00,0,39
77,1,21/06/2023 04:00,0,39
78,1,21/06/2023 05:00,0,39
79,1,21/06/2023 06:00,0,39
80,1,21/06/2023 07:00,0,39
81,1,21/06/2023 08:00,0,39
82,1,21/06/2023 09:00,0,86
83,1,21/06/2023 10:00,0,39
84,1,21/06/2023 11:00,0,39
85,1,21/06/2023 12:00,0,91
86,1,21/06/2023 13:00,0,100
87,1,21/06/2023 14:00,0,39
88,1,21/06/2023 15:00,0,39
89,1,21/06/2023 16:00,0,39
90,1,21/06/2023 17:00,0,39
91,1,21/06/2023 18:00,0,39
92,1,21/06/2023 19:00,0,39
93,1,21/06/2023 20:00,0,39
94,1,21/06/2023 21:00,0,39
95,1,21/06/2023 22:00,0,39
96,1,21/06/2023 23:00,0,39
97,1,22/06/2023 00:00,0,39
98,1,22/06/2023 01:00,0,39
99,1,22/06/2023 02:00,0,39
100,1,22/06/2023 03:00,0,39
101,1,22/06/2023 04:00,0,39
102,1,22/06/2023 05:00,0,39
103,1,22/06/2023 06:00,0,39
104,1,22/06/2023 07:00,0,39
105,1,22/06/2023 08:00,0,89
106,1,22/06/2023 09:00,0,39
107,1,22/06/2023 10:00,0,39
108,1,22/06/2023 11:00,0,86
109,1,22/06/2023 12:00,0,39
110,1,22/06/2023 13:00,0,39
111,1,22/06/2023 14:00,0,100
112,1,22/06/2023 15:00,0,39
113,1,22/06/2023 16:00,0,83
114,1,22/06/2023 17:00,0,100
115,1,22/06/2023 18:00,0,81
116,1,22/06/2023 19:00,0,39
117,1,22/06/2023 20:00,0,100
118,1,22/06/2023 21:00,0,39
119,1,22/06/2023 22:00,0,39
120,1,22/06/2023 23:00,0,39
121,1,23/06/2023 00:00,0,39
122,1,23/06/2023 01:00,0,39
123,1,23/06/2023 02:00,0,39
124,1,23/06/2023 03:00,0,39
125,1,23/06/2023 04:00,0,39
126,1,23/06/2023 05:00,0,39
127,1,23/06/2023 06:00,0,39
128,1,23/06/2023 07:00,0,39
129,1,23/06/2023 08:00,0,39
130,1,23/06/2023 09:00,0,39
131,1,23/06/2023 10:00,0,39
132,1,23/06/2023 11:00,0,97
133,1,23/06/2023 12:00,0,39
134,1,23/06/2023 13:00,0,39
135,1,23/06/2023 14:00,0,91
136,1,23/06/2023 15:00,0,39
137,1,23/06/2023 16:00,0,87
138,1,23/06/2023 17:00,0,39
139,1,23/06/2023 18:00,0,39
140,1,23/06/2023 19:00,0,71
141,1,23/06/2023 20:00,0,39
142,1,23/06/2023 21:00,0,39
143,1,23/06/2023 22:00,0,39
144,1,23/06/2023 23:00,0,39
145,1,24/06/2023 00:00,0,39
146,1,24/06/2023 01:00,0,39
147,1,24/06/2023 02:00,0,39
148,1,24/06/2023 03:00,0,39
149,1,24/06/2023 04:00,0,39
150,1,24/06/2023 05:00,0,39
151,1,24/06/2023 06:00,0,39
152,1,24/06/2023 07:00,0,39
153,1,24/06/2023 08:00,0,39
154,1,24/06/2023 09:00,0,39
155,1,24/06/2023 10:00,0,39
156,1,24/06/2023 11:00,0,39
157,1,24/06/2023 12:00,0,39
158,1,24/06/2023 13:00,0,39
159,1,24/06/2023 14:00,0,39
160,1,24/06/2023 15:00,0,39
161,1,24/06/2023 16:00,0,39
162,1,24/06/2023 17:00,0,39
163,1,24/06/2023 18:00,0,39
164,1,24/06/2023 19:00,0,39
165,1,24/06/2023 20:00,0,39
166,1,24/06/2023 21:00,0,39
167,1,24/06/2023 22:00,0,39
168,1,24/06/2023 23:00,0,39
169,1,25/06/2023 00:00,0,39
170,1,25/06/2023 01:00,0,39
171,1,25/06/2023 02:00,0,39
172,1,25/06/2023 03:00,0,39
173,1,25/06/2023 04:00,0,39
174,1,25/06/2023 05:00,0,39
175,1,25/06/2023 06:00,0,39
176,1,25/06/2023 07:00,0,39
177,1,25/06/2023 08:00,0,39
178,1,25/06/2023 09:00,0,39
179,1,25/06/2023 10:00,0,39
180,1,25/06/2023 11:00,0,39
181,1,25/06/2023 12:00,0,39
182,1,25/06/2023 13:00,0,39
183,1,25/06/2023 14:00,0,39
184,1,25/06/2023 15:00,0,39
185,1,25/06/2023 16:00,0,39
186,1,25/06/2023 17:00,0,39
187,1,25/06/2023 18:00,0,39
188,1,25/06/2023 19:00,0,39
189,1,25/06/2023 20:00,0,39
190,1,25/06/2023 21:00,0,39
191,1,25/06/2023 22:00,0,39
192,1,25/06/2023 23:00,0,39
193,1,26/06/2023 00:00,0,39
194,1,26/06/2023 01:00,0,39
195,1,26/06/2023 02:00,0,39
196,1,26/06/2023 03:00,0,39
197,1,26/06/2023 04:00,0,39
198,1,26/06/2023 05:00,0,39
199,1,26/06/2023 06:00,0,39
200,1,26/06/2023 07:00,0,39
201,1,26/06/2023 08:00,0,39
202,1,26/06/2023 09:00,0,39
203,1,26/06/2023 10:00,0,39
204,1,26/06/2023 11:00,0,39
205,1,26/06/2023 12:00,0,39
206,1,26/06/2023 13:00,0,39
207,1,26/06/2023 14:00,0,85
208,1,26/06/2023 15:00,0,87
209,1,26/06/2023 16:00,0,84
