no,room,date,count_1s,Value
1,1,02/06/2023 00:00,0,39
2,1,02/06/2023 01:00,0,39
3,1,02/06/2023 02:00,0,39
4,1,02/06/2023 03:00,0,39
5,1,02/06/2023 04:00,0,39
6,1,02/06/2023 05:00,0,39
7,1,02/06/2023 06:00,0,39
8,1,02/06/2023 07:00,0,39
9,1,02/06/2023 08:00,0,39
10,1,02/06/2023 09:00,1,39
11,1,02/06/2023 10:00,2,39
12,1,02/06/2023 11:00,2,39
13,1,02/06/2023 12:00,5,39
14,1,02/06/2023 13:00,2,39
15,1,02/06/2023 14:00,1,39
16,1,02/06/2023 15:00,2,39
17,1,02/06/2023 16:00,1,39
18,1,02/06/2023 17:00,2,39
19,1,02/06/2023 18:00,0,39
20,1,02/06/2023 19:00,0,39
21,1,02/06/2023 20:00,0,39
22,1,02/06/2023 21:00,0,39
23,1,02/06/2023 22:00,0,39
24,1,02/06/2023 23:00,0,39
25,1,03/06/2023 00:00,0,39
26,1,03/06/2023 01:00,0,39
27,1,03/06/2023 02:00,0,39
28,1,03/06/2023 03:00,0,39
29,1,03/06/2023 04:00,0,39
30,1,03/06/2023 05:00,0,39
31,1,03/06/2023 06:00,0,39
32,1,03/06/2023 07:00,0,39
33,1,03/06/2023 08:00,0,39
34,1,03/06/2023 09:00,0,39
35,1,03/06/2023 10:00,0,39
36,1,03/06/2023 11:00,1,39
37,1,03/06/2023 12:00,0,39
38,1,03/06/2023 13:00,1,39
39,1,03/06/2023 14:00,0,39
40,1,03/06/2023 15:00,0,39
41,1,03/06/2023 16:00,3,39
42,1,03/06/2023 17:00,1,39
43,1,03/06/2023 18:00,0,39
44,1,03/06/2023 19:00,0,39
45,1,03/06/2023 20:00,0,39
46,1,03/06/2023 21:00,0,39
47,1,03/06/2023 22:00,0,39
48,1,03/06/2023 23:00,0,39
49,1,04/06/2023 00:00,0,39
50,1,04/06/2023 01:00,0,39
51,1,04/06/2023 02:00,0,39
52,1,04/06/2023 03:00,0,39
53,1,04/06/2023 04:00,0,39
54,1,04/06/2023 05:00,0,39
55,1,04/06/2023 06:00,0,39
56,1,04/06/2023 07:00,0,39
57,1,04/06/2023 08:00,0,39
58,1,04/06/2023 09:00,0,39
59,1,04/06/2023 10:00,0,39
60,1,04/06/2023 11:00,0,39
61,1,04/06/2023 12:00,0,39
62,1,04/06/2023 13:00,0,39
63,1,04/06/2023 14:00,0,39
64,1,04/06/2023 15:00,0,39
65,1,04/06/2023 16:00,0,39
66,1,04/06/2023 17:00,0,39
67,1,04/06/2023 18:00,0,39
68,1,04/06/2023 19:00,0,39
69,1,04/06/2023 20:00,0,39
70,1,04/06/2023 21:00,0,39
71,1,04/06/2023 22:00,0,39
72,1,04/06/2023 23:00,0,39
73,1,05/06/2023 00:00,0,39
74,1,05/06/2023 01:00,0,39
75,1,05/06/2023 02:00,0,39
76,1,05/06/2023 03:00,0,39
77,1,05/06/2023 04:00,0,39
78,1,05/06/2023 05:00,0,39
79,1,05/06/2023 06:00,0,39
80,1,05/06/2023 07:00,0,39
81,1,05/06/2023 08:00,0,39
82,1,05/06/2023 09:00,0,39
83,1,05/06/2023 10:00,0,39
84,1,05/06/2023 11:00,3,39
85,1,05/06/2023 12:00,1,39
86,1,05/06/2023 13:00,1,39
87,1,05/06/2023 14:00,2,83
88,1,05/06/2023 15:00,3,39
89,1,05/06/2023 16:00,2,39
90,1,05/06/2023 17:00,3,88
91,1,05/06/2023 18:00,0,39
92,1,05/06/2023 19:00,0,44
93,1,05/06/2023 20:00,0,44
94,1,05/06/2023 21:00,0,83
95,1,05/06/2023 22:00,0,58
96,1,05/06/2023 23:00,0,92
97,1,06/06/2023 00:00,0,62
98,1,06/06/2023 01:00,0,86
99,1,06/06/2023 02:00,0,39
100,1,06/06/2023 03:00,0,83
101,1,06/06/2023 04:00,0,39
102,1,06/06/2023 05:00,0,39
103,1,06/06/2023 06:00,0,92
104,1,06/06/2023 07:00,0,83
105,1,06/06/2023 08:00,0,44
106,1,06/06/2023 09:00,3,44
107,1,06/06/2023 10:00,2,47
108,1,06/06/2023 11:00,1,45
109,1,06/06/2023 12:00,4,64
110,1,06/06/2023 13:00,10,45
111,1,06/06/2023 14:00,3,48
112,1,06/06/2023 15:00,5,43
113,1,06/06/2023 16:00,5,47
114,1,06/06/2023 17:00,2,46
115,1,06/06/2023 18:00,3,48
116,1,06/06/2023 19:00,7,45
117,1,06/06/2023 20:00,0,47
118,1,06/06/2023 21:00,0,45
119,1,06/06/2023 22:00,0,45
120,1,06/06/2023 23:00,0,45
121,1,07/06/2023 00:00,0,44
122,1,07/06/2023 01:00,0,44
123,1,07/06/2023 02:00,0,44
124,1,07/06/2023 03:00,0,65
125,1,07/06/2023 04:00,0,44
126,1,07/06/2023 05:00,0,44
127,1,07/06/2023 06:00,0,39
128,1,07/06/2023 07:00,0,45
129,1,07/06/2023 08:00,0,48
130,1,07/06/2023 09:00,4,45
131,1,07/06/2023 10:00,2,49
132,1,07/06/2023 11:00,7,47
133,1,07/06/2023 12:00,6,47
134,1,07/06/2023 13:00,6,46
135,1,07/06/2023 14:00,6,52
136,1,07/06/2023 15:00,2,47
137,1,07/06/2023 16:00,2,46
138,1,07/06/2023 17:00,0,47
139,1,07/06/2023 18:00,2,48
140,1,07/06/2023 19:00,2,47
141,1,07/06/2023 20:00,0,46
142,1,07/06/2023 21:00,0,46
143,1,07/06/2023 22:00,0,45
144,1,07/06/2023 23:00,0,45
145,1,08/06/2023 00:00,0,39
146,1,08/06/2023 01:00,0,45
147,1,08/06/2023 02:00,0,68
148,1,08/06/2023 03:00,0,97
149,1,08/06/2023 04:00,0,39
150,1,08/06/2023 05:00,0,39
151,1,08/06/2023 06:00,0,92
152,1,08/06/2023 07:00,0,64
153,1,08/06/2023 08:00,0,48
154,1,08/06/2023 09:00,3,45
155,1,08/06/2023 10:00,1,45
156,1,08/06/2023 11:00,0,46
157,1,08/06/2023 12:00,4,48
158,1,08/06/2023 13:00,5,47
159,1,08/06/2023 14:00,5,47
160,1,08/06/2023 15:00,4,45
161,1,08/06/2023 16:00,3,66
162,1,08/06/2023 17:00,2,39
163,1,08/06/2023 18:00,2,54
164,1,08/06/2023 19:00,4,89
165,1,08/06/2023 20:00,0,39
166,1,08/06/2023 21:00,0,39
167,1,08/06/2023 22:00,0,39
168,1,08/06/2023 23:00,0,39
169,1,09/06/2023 00:00,0,39
170,1,09/06/2023 01:00,0,39
171,1,09/06/2023 02:00,0,39
172,1,09/06/2023 03:00,0,39
173,1,09/06/2023 04:00,0,39
174,1,09/06/2023 05:00,0,39
175,1,09/06/2023 06:00,0,39
176,1,09/06/2023 07:00,0,39
177,1,09/06/2023 08:00,0,39
178,1,09/06/2023 09:00,0,39
179,1,09/06/2023 10:00,0,39
180,1,09/06/2023 11:00,4,39
181,1,09/06/2023 12:00,0,39
182,1,09/06/2023 13:00,0,39
183,1,09/06/2023 14:00,1,39
184,1,09/06/2023 15:00,1,39
185,1,09/06/2023 16:00,0,39
186,1,09/06/2023 17:00,2,39
187,1,09/06/2023 18:00,0,39
188,1,09/06/2023 19:00,1,39
189,1,09/06/2023 20:00,0,39
190,1,09/06/2023 21:00,0,39
191,1,09/06/2023 22:00,0,39
192,1,09/06/2023 23:00,0,39
193,1,10/06/2023 00:00,0,39
194,1,10/06/2023 01:00,0,39
195,1,10/06/2023 02:00,0,39
196,1,10/06/2023 03:00,0,39
197,1,10/06/2023 04:00,0,39
198,1,10/06/2023 05:00,0,39
199,1,10/06/2023 06:00,0,39
200,1,10/06/2023 07:00,0,39
201,1,10/06/2023 08:00,0,39
202,1,10/06/2023 09:00,0,39
203,1,10/06/2023 10:00,1,39
204,1,10/06/2023 11:00,1,39
205,1,10/06/2023 12:00,1,39
206,1,10/06/2023 13:00,0,39
207,1,10/06/2023 14:00,3,39
208,1,10/06/2023 15:00,0,39
209,1,10/06/2023 16:00,1,39
210,1,10/06/2023 17:00,1,39
211,1,10/06/2023 18:00,0,39
212,1,10/06/2023 19:00,0,39
213,1,10/06/2023 20:00,0,39
214,1,10/06/2023 21:00,0,39
215,1,10/06/2023 22:00,0,39
216,1,10/06/2023 23:00,0,39
217,1,11/06/2023 00:00,0,39
218,1,11/06/2023 01:00,0,39
219,1,11/06/2023 02:00,0,39
220,1,11/06/2023 03:00,0,39
221,1,11/06/2023 04:00,0,39
222,1,11/06/2023 05:00,0,39
223,1,11/06/2023 06:00,0,39
224,1,11/06/2023 07:00,0,39
225,1,11/06/2023 08:00,0,39
226,1,11/06/2023 09:00,0,39
227,1,11/06/2023 10:00,0,39
228,1,11/06/2023 11:00,0,39
229,1,11/06/2023 12:00,0,39
230,1,11/06/2023 13:00,0,39
231,1,11/06/2023 14:00,0,39
232,1,11/06/2023 15:00,0,39
233,1,11/06/2023 16:00,0,39
234,1,11/06/2023 17:00,0,39
235,1,11/06/2023 18:00,0,39
236,1,11/06/2023 19:00,0,39
237,1,11/06/2023 20:00,0,39
238,1,11/06/2023 21:00,0,39
239,1,11/06/2023 22:00,0,39
240,1,11/06/2023 23:00,0,39
241,1,12/06/2023 00:00,0,39
242,1,12/06/2023 01:00,0,39
243,1,12/06/2023 02:00,0,39
244,1,12/06/2023 03:00,0,39
245,1,12/06/2023 04:00,0,39
246,1,12/06/2023 05:00,0,39
247,1,12/06/2023 06:00,0,39
248,1,12/06/2023 07:00,0,39
249,1,12/06/2023 08:00,0,39
