no,room,date,count_1s,Value
1,1,10/07/2023 00:00,0,39
2,1,10/07/2023 01:00,0,39
3,1,10/07/2023 02:00,0,39
4,1,10/07/2023 03:00,0,39
5,1,10/07/2023 04:00,0,39
6,1,10/07/2023 05:00,0,39
7,1,10/07/2023 06:00,0,39
8,1,10/07/2023 07:00,0,39
9,1,10/07/2023 08:00,0,39
10,1,10/07/2023 09:00,0,39
11,1,10/07/2023 10:00,2,39
12,1,10/07/2023 11:00,1,39
13,1,10/07/2023 12:00,5,39
14,1,10/07/2023 13:00,7,39
15,1,10/07/2023 14:00,2,39
16,1,10/07/2023 15:00,7,39
17,1,10/07/2023 16:00,5,39
18,1,10/07/2023 17:00,5,39
19,1,10/07/2023 18:00,2,39
20,1,10/07/2023 19:00,0,39
21,1,10/07/2023 20:00,0,39
22,1,10/07/2023 21:00,0,39
23,1,10/07/2023 22:00,0,39
24,1,10/07/2023 23:00,0,39
25,1,11/07/2023 00:00,0,39
26,1,11/07/2023 01:00,0,39
27,1,11/07/2023 02:00,0,39
28,1,11/07/2023 03:00,0,39
29,1,11/07/2023 04:00,0,39
30,1,11/07/2023 05:00,0,39
31,1,11/07/2023 06:00,0,39
32,1,11/07/2023 07:00,0,39
33,1,11/07/2023 08:00,0,39
34,1,11/07/2023 09:00,0,39
35,1,11/07/2023 10:00,5,39
36,1,11/07/2023 11:00,1,39
37,1,11/07/2023 12:00,2,39
38,1,11/07/2023 13:00,8,39
39,1,11/07/2023 14:00,3,39
40,1,11/07/2023 15:00,5,39
41,1,11/07/2023 16:00,6,87
42,1,11/07/2023 17:00,5,86
43,1,11/07/2023 18:00,0,44
44,1,11/07/2023 19:00,0,44
45,1,11/07/2023 20:00,0,64
46,1,11/07/2023 21:00,0,39
47,1,11/07/2023 22:00,0,39
48,1,11/07/2023 23:00,0,39
49,1,12/07/2023 00:00,0,39
50,1,12/07/2023 01:00,0,39
51,1,12/07/2023 02:00,0,39
52,1,12/07/2023 03:00,0,39
53,1,12/07/2023 04:00,0,39
54,1,12/07/2023 05:00,0,39
55,1,12/07/2023 06:00,0,39
56,1,12/07/2023 07:00,0,39
57,1,12/07/2023 08:00,0,39
58,1,12/07/2023 09:00,0,39
59,1,12/07/2023 10:00,1,39
60,1,12/07/2023 11:00,3,39
61,1,12/07/2023 12:00,6,65
62,1,12/07/2023 13:00,9,39
63,1,12/07/2023 14:00,3,39
64,1,12/07/2023 15:00,2,39
65,1,12/07/2023 16:00,3,39
66,1,12/07/2023 17:00,1,39
67,1,12/07/2023 18:00,2,80
68,1,12/07/2023 19:00,4,39
69,1,12/07/2023 20:00,0,39
70,1,12/07/2023 21:00,0,39
71,1,12/07/2023 22:00,0,39
72,1,12/07/2023 23:00,0,39
73,1,13/07/2023 00:00,0,39
74,1,13/07/2023 01:00,0,39
75,1,13/07/2023 02:00,0,39
76,1,13/07/2023 03:00,0,39
77,1,13/07/2023 04:00,0,39
78,1,13/07/2023 05:00,0,39
79,1,13/07/2023 06:00,0,39
80,1,13/07/2023 07:00,0,39
81,1,13/07/2023 08:00,0,39
82,1,13/07/2023 09:00,2,93
83,1,13/07/2023 10:00,5,39
84,1,13/07/2023 11:00,2,39
85,1,13/07/2023 12:00,2,39
86,1,13/07/2023 13:00,5,39
87,1,13/07/2023 14:00,6,84
88,1,13/07/2023 15:00,4,48
89,1,13/07/2023 16:00,0,46
90,1,13/07/2023 17:00,3,65
91,1,13/07/2023 18:00,3,47
92,1,13/07/2023 19:00,4,72
93,1,13/07/2023 20:00,0,48
94,1,13/07/2023 21:00,0,64
95,1,13/07/2023 22:00,0,69
96,1,13/07/2023 23:00,0,46
97,1,14/07/2023 00:00,0,45
98,1,14/07/2023 01:00,0,80
99,1,14/07/2023 02:00,0,63
100,1,14/07/2023 03:00,0,39
101,1,14/07/2023 04:00,0,44
102,1,14/07/2023 05:00,0,60
103,1,14/07/2023 06:00,0,44
104,1,14/07/2023 07:00,0,45
105,1,14/07/2023 08:00,0,45
106,1,14/07/2023 09:00,2,46
107,1,14/07/2023 10:00,4,45
108,1,14/07/2023 11:00,3,46
109,1,14/07/2023 12:00,3,39
110,1,14/07/2023 13:00,2,100
111,1,14/07/2023 14:00,5,44
112,1,14/07/2023 15:00,4,45
113,1,14/07/2023 16:00,7,45
114,1,14/07/2023 17:00,2,39
115,1,14/07/2023 18:00,1,87
116,1,14/07/2023 19:00,3,80
117,1,14/07/2023 20:00,0,44
118,1,14/07/2023 21:00,0,62
119,1,14/07/2023 22:00,0,39
120,1,14/07/2023 23:00,0,39
121,1,15/07/2023 00:00,0,39
122,1,15/07/2023 01:00,0,39
